2018-01-17 17:40:35 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 17:40:35 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //*[@title='Log me out']]
2018-01-17 17:40:36 INFO  HomePage:68 - clicked on log out button 
2018-01-17 17:40:36 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 17:40:36 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:40:37 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //a[@class='login']]
2018-01-17 17:40:37 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: email]
2018-01-17 17:40:37 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: passwd]
2018-01-17 17:41:08 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 17:41:08 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //*[@title='Log me out']]
2018-01-17 17:41:09 INFO  HomePage:68 - clicked on log out button 
2018-01-17 17:41:09 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 17:41:10 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:41:11 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //a[@class='login']]
2018-01-17 17:41:11 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: email]
2018-01-17 17:41:11 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: passwd]
2018-01-17 17:41:42 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 17:41:42 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //*[@title='Log me out']]
2018-01-17 17:41:43 INFO  HomePage:68 - clicked on log out button 
2018-01-17 17:41:43 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 20:11:51 INFO  TC001_VerifyLoginWithInvalidCredentials:23 - --------------- Staring verifyLoginWithInvalidCredentials -----------------
2018-01-17 20:11:52 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (084e84e2b3a7f2d27105f8d45f4ebe07)] -> xpath: //a[@class='login']]
2018-01-17 20:11:52 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (084e84e2b3a7f2d27105f8d45f4ebe07)] -> id: email]
2018-01-17 20:11:52 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (084e84e2b3a7f2d27105f8d45f4ebe07)] -> id: passwd]
2018-01-17 20:11:53 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (084e84e2b3a7f2d27105f8d45f4ebe07)] -> xpath: //button[@id='SubmitLogin']]
2018-01-17 20:11:53 INFO  HomePage:72 - Error message is - Authentication failed.
2018-01-17 20:11:53 INFO  TC001_VerifyLoginWithInvalidCredentials:29 - --------------- Finished verifyLoginWithInvalidCredentials -----------------
2018-01-17 20:15:33 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 20:15:34 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //a[@class='login']]
2018-01-17 20:15:34 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: email]
2018-01-17 20:15:34 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: passwd]
2018-01-17 20:16:06 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 20:16:06 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //*[@title='Log me out']]
2018-01-17 20:16:07 INFO  HomePage:68 - clicked on log out button 
2018-01-17 20:16:07 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 20:16:07 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 20:16:08 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //a[@class='login']]
2018-01-17 20:16:08 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: email]
2018-01-17 20:16:08 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> id: passwd]
2018-01-17 20:16:39 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 20:16:39 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //*[@title='Log me out']]
2018-01-17 20:16:40 INFO  HomePage:68 - clicked on log out button 
2018-01-17 20:16:40 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 20:16:40 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 20:16:41 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (2248906e5c6e1deade56da13f5ab897c)] -> xpath: //a[@class='login']]
